"filename", "language", "HTML", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\image\image.component.css", "CSS", 0, 0, 53, 0, 3, 12, 68
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\image\image.component.html", "HTML", 31, 0, 0, 0, 0, 3, 34
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\image\image.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\image\image.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\pdf-component\pdf-component.component.css", "CSS", 0, 0, 53, 0, 3, 12, 68
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\pdf-component\pdf-component.component.html", "HTML", 31, 0, 0, 0, 0, 3, 34
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\pdf-component\pdf-component.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\pdf-component\pdf-component.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app-routing.module.ts", "TypeScript", 0, 176, 0, 0, 0, 11, 187
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.css", "CSS", 0, 0, 189, 0, 29, 35, 253
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.html", "HTML", 79, 0, 0, 0, 15, 15, 109
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.spec.ts", "TypeScript", 0, 27, 0, 0, 0, 5, 32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.ts", "TypeScript", 0, 237, 0, 0, 15, 98, 350
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.module.ts", "TypeScript", 0, 155, 0, 0, 2, 36, 193
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-item\cart-item.component.css", "CSS", 0, 0, 141, 0, 0, 29, 170
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-item\cart-item.component.html", "HTML", 16, 0, 0, 0, 0, 1, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-item\cart-item.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-item\cart-item.component.ts", "TypeScript", 0, 22, 0, 0, 0, 11, 33
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-service.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 5, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-service.service.ts", "TypeScript", 0, 207, 0, 0, 12, 62, 281
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.css", "CSS", 0, 0, 339, 0, 2, 65, 406
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.html", "HTML", 157, 0, 0, 0, 74, 20, 251
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.ts", "TypeScript", 0, 270, 0, 0, 12, 105, 387
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.css", "CSS", 0, 0, 285, 0, 0, 33, 318
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.html", "HTML", 46, 0, 0, 0, 51, 3, 100
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.ts", "TypeScript", 0, 69, 0, 0, 2, 13, 84
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.css", "CSS", 0, 0, 42, 0, 0, 9, 51
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.html", "HTML", 36, 0, 0, 0, 0, 4, 40
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.css", "CSS", 0, 0, 152, 0, 11, 44, 207
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.html", "HTML", 144, 0, 0, 0, 112, 12, 268
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.ts", "TypeScript", 0, 308, 0, 0, 13, 67, 388
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.css", "CSS", 0, 0, 92, 0, 0, 21, 113
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.html", "HTML", 598, 0, 0, 0, 0, 5, 603
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.ts", "TypeScript", 0, 12, 0, 0, 0, 4, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.css", "CSS", 0, 0, 632, 0, 22, 152, 806
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.html", "HTML", 151, 0, 0, 0, 60, 53, 264
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.ts", "TypeScript", 0, 81, 0, 0, 2, 31, 114
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.css", "CSS", 0, 0, 67, 0, 0, 18, 85
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.html", "HTML", 42, 0, 0, 0, 49, 15, 106
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.ts", "TypeScript", 0, 81, 0, 0, 16, 27, 124
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.css", "CSS", 0, 0, 111, 0, 6, 27, 144
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.html", "HTML", 170, 0, 0, 0, 0, 23, 193
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.ts", "TypeScript", 0, 60, 0, 0, 0, 12, 72
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.css", "CSS", 0, 0, 333, 0, 26, 92, 451
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.html", "HTML", 337, 0, 0, 0, 89, 30, 456
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.ts", "TypeScript", 0, 297, 0, 0, 22, 111, 430
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\next.directive.spec.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\next.directive.ts", "TypeScript", 0, 14, 0, 0, 0, 13, 27
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.css", "CSS", 0, 0, 105, 0, 0, 14, 119
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.html", "HTML", 32, 0, 0, 0, 0, 2, 34
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
