"filename", "language", "TypeScript", "JSON", "HTML", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 3, 38, 172
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.css", "CSS", 0, 0, 0, 57, 0, 0, 0, 8, 65
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.html", "HTML", 0, 0, 44, 0, 0, 0, 0, 2, 46
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.css", "CSS", 0, 0, 0, 2411, 0, 0, 39, 434, 2884
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.html", "HTML", 0, 0, 77, 0, 0, 0, 0, 7, 84
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 18, 94
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.html", "HTML", 0, 0, 32, 0, 0, 0, 2, 15, 49
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 8, 24, 117
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.html", "HTML", 0, 0, 53, 0, 0, 0, 0, 8, 61
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.html", "HTML", 0, 0, 26, 0, 0, 0, 27, 13, 66
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 2, 45, 154
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\categories.model.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 7, 20
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.html", "HTML", 0, 0, 7, 0, 0, 0, 1, 9, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 15, 65
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.css", "CSS", 0, 0, 0, 137, 0, 0, 1, 39, 177
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.html", "HTML", 0, 0, 185, 0, 0, 0, 18, 25, 228
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.ts", "TypeScript", 357, 0, 0, 0, 0, 0, 35, 130, 522
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.css", "CSS", 0, 0, 0, 249, 0, 0, 65, 52, 366
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.html", "HTML", 0, 0, 69, 0, 0, 0, 32, 24, 125
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 1, 23, 96
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products.service.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 26, 104
