"filename", "language", "TypeScript", "HTML", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\print.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\profile-logo-dark2 1.svg", "XML", 0, 0, 0, 0, -11, 0, -1, -12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\profile-logo-dark2.svg", "XML", 0, 0, 0, 0, -11, 0, -1, -12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\profile-logo-white-with-green.svg", "XML", 0, 0, 0, 0, -11, 0, -1, -12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\profile-logo-white.svg", "XML", 0, 0, 0, 0, -25, -1, -1, -27
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\shopping-cart.svg", "XML", 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\showAll.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\straight lines.svg", "XML", 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\trash-alt-white.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\trash-alt.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\upper lines.svg", "XML", 0, 0, 0, 0, -7, 0, -1, -8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\user-green.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\user.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\x-black.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\x-red.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\youtube.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\dummyData.json", "JSON", 0, 0, 0, -8, 0, 0, -1, -9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\environments\environment.prod.ts", "TypeScript", -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\environments\environment.ts", "TypeScript", -3, 0, 0, 0, 0, -11, -3, -17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\index.html", "HTML", 0, -14, 0, 0, 0, -1, -1, -16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\main.ts", "TypeScript", -9, 0, 0, 0, 0, 0, -4, -13
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\polyfills.ts", "TypeScript", -2, 0, 0, 0, 0, -50, -6, -58
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\styles.css", "CSS", 0, 0, -187, 0, 0, -31, -61, -279
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\test.ts", "TypeScript", -18, 0, 0, 0, 0, -4, -5, -27
"Total", "-", 459, 60, 402, -350, -734, 79, 4, -80
